inc_id,cre_dttm,restore_dttm,affected_cust
2005428860,2017-09-15 15:51:15,2017-09-17 14:13:57,4
2005428867,2017-09-15 15:53:00,2017-09-16 18:16:00,6
2005429391,2017-09-15 15:58:13,2017-09-17 10:26:15,18
2005429079,2017-09-15 16:52:34,2017-09-17 11:11:18,4
2005429201,2017-09-15 17:36:23,2017-09-16 20:04:39,6
2005429242,2017-09-15 17:55:02,2017-09-17 06:55:43,3
2005429388,2017-09-15 18:44:29,2018-01-09 07:25:30,18
2005429506,2017-09-15 20:03:20,2017-09-16 15:36:00,33
2005429539,2017-09-15 20:36:39,2017-09-16 10:30:00,3
2005429832,2017-09-16 07:38:07,2017-09-16 17:41:58,13
2005429876,2017-09-16 08:00:38,2017-09-17 14:13:38,3
2005429885,2017-09-16 08:06:50,2017-12-11 15:55:31,3
2005430076,2017-09-16 09:38:16,2017-09-16 19:55:29,3
2005430669,2017-09-16 15:02:53,2017-09-17 12:57:37,69
2005430774,2017-09-16 16:19:15,2017-09-17 09:38:43,11
2005431896,2017-09-17 10:25:13,2017-09-18 10:31:56,58
2005431389,2017-09-17 10:48:22,2017-09-18 16:18:03,29
2005433262,2017-09-19 10:54:13,2017-09-19 15:02:17,20
